"proposition","source"
"15 milliards d’euros seront consacrés aux compétences.","https://en-marche.fr/emmanuel-macron/le-programme/plan-investissement"
"5 milliards d’euros seront consacrés à l’agriculture.","https://en-marche.fr/emmanuel-macron/le-programme/plan-investissement"
"5 milliards d’euros seront consacrés à la santé.","https://en-marche.fr/emmanuel-macron/le-programme/plan-investissement"
"5 milliards d’euros seront consacrés aux transports et aux équipements collectifs locaux.","https://en-marche.fr/emmanuel-macron/le-programme/plan-investissement"
"5 milliards d’euros seront consacrés à la modernisation de l’action publique.","https://en-marche.fr/emmanuel-macron/le-programme/plan-investissement"
"Nous maintiendrons un rythme élevé de création de places en crèche.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Pour que les familles soient à égalité face aux modes de garde des enfants et empêcher les passe-droits, nous obligerons les communes à publier en ligne leurs critères d’attribution des places de crèche, puis à mettre en place systématiquement un système de cotation des demandes.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous orienterons progressivement les critères d’attribution vers des règles plus équitables et modulerons les financements nationaux selon le poids accordé par la commune aux critères sociaux.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous diviserons par deux les effectifs des classes de CP et de CE1 en REP et REP+, mesure la plus importante prise en faveur de l’éducation prioritaire depuis la création des ZEP en 1981.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous introduirons, au début de chaque année, des bilans personnalisés, de la classe de grande section à la troisième, afin que les enseignants disposent d’une base fiable et utile pour mesurer les progrès de chaque élève, et qu’ils choisissent les meilleurs outils pour un enseignement adapté aux besoins de chacun.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous renforcerons l’individualisation des apprentissages en développant des supports numériques et des applications adaptées pour faire évoluer les pratiques pédagogiques ; les enseignants seront formés à cette fin.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous lutterons contre la déperdition des savoirs scolaires en proposant des stages de remise à niveau en fin d’été entre le CP et le CM2. Ils seront assurés par des enseignants volontaires, qui seront rémunérés à ce titre.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous proposerons à tous un accompagnement après la classe.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous proposerons, comme en primaire, des stages de remise à niveau pour les collégiens les plus en difficulté.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous remettrons des études dirigées partout dans les établissements.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous formerons, sur la durée du quinquennat, 1 million de jeunes aujourd’hui sans qualification ni activité.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous ferons un effort massif pour l'apprentissage.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous n’affecterons plus aucun professeur (hors choix motivé) en zone prioritaire pendant ses 3 premières années d’enseignement.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous reconnaîtrons mieux l’engagement et la contribution des enseignants exerçant en REP+ (zones prioritaires).","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous étendrons la formation en alternance dès la licence pour les étudiants qui se destinent aux métiers de l’enseignement.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous placerons une formation ambitieuse au cœur du système éducatif.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous donnerons l’initiative aux établissements. Concrètement, cela signifiera :","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous accompagnerons l’autonomie des établissements de diagnostics réguliers et si besoin de mesures d’accompagnement spécifiques.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous favoriserons un lien de confiance renouvelé par une place plus grande donnée à l’échange avec les parents, en généralisant notamment l’expérience de la « mallette des parents ».","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous mobiliserons, en maternelle, des jeunes engagés dans le cadre du service civique, afin d’appuyer les professeurs, particulièrement pour la maîtrise du langage.","https://en-marche.fr/emmanuel-macron/le-programme/education"
"Nous couvrirons en très haut débit l’ensemble du territoire. Ce sera fait d’ici la fin du quinquennat, pour ne laisser aucun territoire à la traîne dans la transition numérique.","https://en-marche.fr/emmanuel-macron/le-programme/numerique"
"Nous éliminerons les zones sans réseau (aussi appelées « zones blanches »).","https://en-marche.fr/emmanuel-macron/le-programme/numerique"
"Nous porterons une stratégie d’inclusion à destination de ceux qui rencontrent des difficultés à utiliser le numérique en développant avec les associations et les collectivités, un réseau d’accompagnement sur le territoire qui proposera du temps de soutien et des formations aux outils et aux services numériques.","https://en-marche.fr/emmanuel-macron/le-programme/numerique"
"Nous aiderons les TPE et les PME à réussir leur transformation numérique.","https://en-marche.fr/emmanuel-macron/le-programme/numerique"
